기업명,별점,입사율,퇴사율
비앤에프테크놀로지(주),3.2,43.64 % (24 명),36.36 % (20 명)
(주)이노메트리,1,123.91 % (114 명),68.48 % (63 명)
(주)한국미스미,2.6,22.48 % (67 명),21.81 % (65 명)
(주)리파인,2.4,26.89 % (57 명),29.25 % (62 명)
(주)벨아이앤에스,3.4,28.79 % (19 명),30.30 % (20 명)
유빈스(주),2.5,19.40 % (104 명),20.15 % (108 명)
주식회사 미코,2.8,37.50 % (45 명),19.17 % (23 명)
(주)디모아,2.2,184.95 % (172 명),50.54 % (47 명)
(주)동아엘텍,2.8,9.16 % (12 명),6.87 % (9 명)
(주)메타마케팅,3.4,875.00 % (105 명),966.67 % (116 명)
(주)포커스에이치엔에스,2.7,30.12 % (25 명),25.30 % (21 명)
(주)두잇시스템,2.5,22.48 % (49 명),19.27 % (42 명)
(주)에이스프로젝트,4.1,41.46 % (17 명),31.71 % (13 명)
(주)퍼시스,3,26.82 % (59 명),20.00 % (44 명)
(주)오비고,3.2,36.84 % (35 명),20.00 % (19 명)
(주)시몬스,2.3,37.97 % (243 명),39.53 % (253 명)
NSUSLAB,,,
(주)와치텍,3,19.09 % (21 명),20.00 % (22 명)
뉴로핏(주),3.2,77.46 % (55 명),50.70 % (36 명)
(주)밀버스,3.5,,
(주)아이유노글로벌,2.2,54.82 % (108 명),39.09 % (77 명)
(주)두플,2.6,36.67 % (11 명),23.33 % (7 명)
아우토크립트(주),3.4,141.60 % (177 명),44.00 % (55 명)
엔와이케이벌크쉽코리아(주),0,5.56 % (1 명),5.56 % (1 명)
(주)얼라인드제네틱스,3.3,40.00 % (18 명),22.22 % (10 명)
(주)더비즈,0,0.00 % (7 명),0.00 % (1 명)
(주)덕산테코피아,2.3,74.27 % (179 명),50.62 % (122 명)
(주)동서가구,2,72.58 % (45 명),77.42 % (48 명)
(주)스마일코리아,2.5,187.18 % (73 명),133.33 % (52 명)
네이버제트(주),4.2,90.38 % (216 명),42.26 % (101 명)
솔트웨어(주),2.4,- % (104 명),- % (6 명)
(주)미창,2.3,30.26 % (23 명),26.32 % (20 명)
에스지에이(주),2.5,80.61 % (158 명),70.92 % (139 명)
(주)블루베리메타,,540.00 % (27 명),240.00 % (12 명)
(주)제이숲,3.4,74.07 % (40 명),59.26 % (32 명)
코리아스펙트랄프로덕츠(주),2.7,11.54 % (3 명),15.38 % (4 명)
(주)무신사,2.7,137.96 % (894 명),39.20 % (254 명)
(주)투버미디어,2,12.50 % (2 명),12.50 % (2 명)
디피니트,5,,
(주)바이브온코퍼레이션,,200.00 % (6 명),33.33 % (1 명)
(주)국동,,49.35 % (38 명),71.43 % (55 명)
주식회사 명품입찰,2.7,81.40 % (35 명),79.07 % (34 명)
이룸컨설팅(주),,,
(주)보고플레이,,83.10 % (59 명),42.25 % (30 명)
스포츠투아이(주),2.7,41.67 % (25 명),35.00 % (21 명)
디지털뉴트리션,,,
에스케이시그넷(주),2.4,101.18 % (171 명),22.49 % (38 명)
삼인이엔에스(주),,16.00 % (4 명),20.00 % (5 명)
주식회사 옳은일,,,
(주)오피지지,3.7,58.57 % (41 명),30.00 % (21 명)
(주)에이치에스오코리아,0,0.00 % (6 명),0.00 % (4 명)
(주)아이비젼웍스,4.4,108.47 % (64 명),42.37 % (25 명)
(주)와이즈레이크,,- % (21 명),- % (2 명)
청오디피케이(주),3,127.84 % (1552 명),142.34 % (1728 명)
(주)에스브이씨,,0.00 % (0 명),0.00 % (0 명)
(주)단비교육,3.2,,
에프원소프트(주),2.5,35.14 % (13 명),37.84 % (14 명)
(주)에스티에이테스팅컨설팅,2.5,32.71 % (70 명),45.79 % (98 명)
(주)위즈코리아,1.9,34.38 % (22 명),39.06 % (25 명)
(주)대연,,15.00 % (3 명),25.00 % (5 명)
(주)플랜아이,3,30.36 % (34 명),28.57 % (32 명)
(주)발렌타인드림,2.7,175.86 % (51 명),127.59 % (37 명)
(주)비포플레이,,154.55 % (17 명),145.45 % (16 명)
(주)직방,3.1,89.86 % (257 명),31.12 % (89 명)
(주)에브리플레이,3.4,31.48 % (17 명),20.37 % (11 명)
(주)엠클라우독,0,127.27 % (28 명),45.45 % (10 명)
(주)유라,2.2,23.00 % (109 명),19.62 % (93 명)
