,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역
82,83,(주)스탁키퍼,"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,bancow.co.kr,서울 영등포구
83,84,(주)넷케이티아이,"중소기업, 외부감사법인, 주식회사",0,0,www.kti.co.kr,경기 성남시
84,85,(주)트리플렛,"중소기업, 스타트업, 주식회사",0,0,http://www.triplllet.com,서울 서초구
85,86,(주)어메스,"중소기업, 사단법인, 연구소, 주식회사",10 명  (2022년 기준),2021년 3월 12일 (업력 1년) ,www.amass.co.kr,서울 강남구
86,87,(주)아이엔지스토리,"중소기업, 스타트업, 주식회사",78 명  (2021년 기준),2013년 10월 22일 (업력 9년) ,https://ingstory.co.kr,서울 서초구
87,88,(주)NE능률,"코스닥, 중견기업, 주식회사",320 명  (2022년 기준),0,www.neungyule.com,서울 마포구
88,89,(주)에이아이더뉴트리진 서울사무소,"중소기업, 외부감사법인, 연구소, 주식회..",40 명  (2021년 기준),2018년 6월 12일 (업력 4년) ,www.aithe.io,서울 강남구
89,90,키스자산평가(주),"중견기업, 연구소, 주식회사, 병역특례 ..",141 명  (2021년 기준),2000년 6월 20일 (업력 22년) ,www.bond.co.kr,서울 영등포구
90,91,(주)한컴라이프케어,"코스피, 외부감사법인, 수출입 기업",237 명  (2022년 기준),1996년 12월 30일 (업력 26년) ,www.hancomlifecare.com,경기 용인시
91,92,이케이 주식회사,"중소기업, 스타트업, 주식회사",70 명  (2022년 기준),0,www.kidkids.net,경기 용인시
92,93,(주)에스티에스엔지니어링,"중소기업, 연구소, 주식회사",0,2020년 5월 18일 (업력 2년) ,aists.co.kr,충북 청주시
93,94,(주)다하미커뮤니케이션즈,"중소기업, 주식회사, 병역특례 인증업체",54 명  (2022년 기준),1998년 5월 21일 (업력 24년) ,www.dahami.co.kr,서울 중구
94,95,터치올(주),"중소기업, 주식회사, 수출입 기업",0,2016년 1월 28일 (업력 6년) ,,서울 금천구
95,96,(주)무하유,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.muhayu.com,서울 성동구
96,97,㈜애니파이브,중소기업,0,0,www.anyfive.com,서울 구로구
97,98,(주)엔텔스,"코스닥, 외부감사법인, 주식회사, 병역특..",222 명  (2022년 기준),0,www.ntels.com,서울 강남구
98,99,(주)시컴스,"중소기업, 주식회사",0,0,www.sicoms.co.kr,경기 광명시
99,100,(주)엔텔스,"코스닥, 외부감사법인, 주식회사, 병역특..",222 명  (2022년 기준),0,www.ntels.com,서울 강남구
100,101,(주)써로마인드,"중소기업, 연구소, 주식회사, 병역특례 ..",32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구
101,102,(주)써로마인드,"중소기업, 연구소, 주식회사, 병역특례 ..",32 명  (2022년 기준),2015년 7월 1일 (업력 7년) ,https://surromind.ai,서울 관악구
102,103,(주)리얼시큐,"중소기업, 주식회사",0,0,www.realsecu.net,부산 해운대구
103,104,(주)헥스콘,"중소기업, 주식회사",0,2022년 2월 4일 (업력 0년) ,,경남 창원시
104,105,(주)헥스콘,"중소기업, 주식회사",0,2022년 2월 4일 (업력 0년) ,,경남 창원시
105,106,주식회사 리만코리아,"중견기업, 주식회사, 외부감사법인",0,0,www.rimankorea.co.kr,-
106,107,(주)어뮤즈랩,"중소기업, 주식회사",9 명  (2022년 기준),2015년 12월 10일 (업력 7년) ,www.amuzlab.com,경기 성남시
107,108,(주)알고리고,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.algorigo.com,서울 강남구
108,109,디딤365(주),"중소기업, 주식회사, 병역특례 인증업체",0,0,www.didim365.com,서울 금천구
109,110,코드크레인(유),중소기업,0,0,www.codecrain.com,서울 광진구
110,111,제이어스(주),중소기업,0,2014년 11월 18일 (업력 8년) ,www.jeios.com,부산 사상구
111,112,지오시스(유),"외국인 투자기업, 유한회사",242 명  (2021년 기준),2010년 5월 20일 (업력 12년) ,www.qoo10.com,서울 강남구
112,113,(주)퓨전소프트,외부감사법인,0,0,www.fusionsoft.co.kr,대구 동구
113,114,(주)알파도,"중소기업, 연구소, 주식회사, 수출입 기업",11 명  (2021년 기준),2018년 2월 14일 (업력 4년) ,https://www.alphadopet.com,서울 금천구
114,115,(주)타이드스퀘어,중소기업,297 명  (2022년 기준),2009년 11월 17일 (업력 13년) ,www.tidesquare.com,서울 중구
115,116,이투스에듀(주),중견기업,686 명  (2021년 기준),0,www.etoos.com,서울 강남구
116,117,(주)아이티엘,"중소기업, 주식회사, 병역특례 인증업체",26 명  (2018년 기준),2013년 8월 27일 (업력 9년) ,www.ipnow.co.kr,서울 서초구
117,118,㈜칸테크,중견기업,0,0,http://www.khantech.co.kr,서울 금천구
118,119,(주)넷앤드,"중소기업, 병역특례 인증업체",145 명  (2022년 기준),2007년 12월 21일 (업력 15년) ,www.netand.co.kr,서울 영등포구
119,120,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
120,121,메가존클라우드(주),"중견기업, 주식회사, 병역특례 인증업체",900 명  (2022년 기준),0,www.megazone.com/,서울 강남구
121,122,콴텍(주),"중소기업, 스타트업, 주식회사",0,0,www.quantec.co.kr,서울 영등포구
122,123,메가존소프트(주),중견기업,106 명  (2022년 기준),2021년 9월 9일 (업력 1년) ,,서울 강남구
123,124,(주)더블유에이아이,"중소기업, 연구소, 주식회사",0,0,www.waikorea.com,서울 영등포구
124,125,㈜네오플,"대기업, 1000대기업, 외부감사법인",0,0,www.neople.co.kr,제주 제주시
125,126,메가존(주),"중견기업, 주식회사, 병역특례 인증업체",524 명  (2022년 기준),2001년 3월 17일 (업력 21년) ,https://megazone.com,서울 강남구
126,127,(주)스노우피크코리아,"중소기업, 외국인 투자기업, 주식회사",0,0,http://snowpeak.co.kr,서울 양천구
127,128,(주)이엠포커스,중소기업,14 명  (2022년 기준),2013년 5월 21일 (업력 9년) ,,경기 안산시
128,129,(주)비솔,수출입 기업,27 명  (2022년 기준),2000년 1월 6일 (업력 22년) ,www.visol.co.kr,경기 광명시
129,130,(주)챔프스터디,중소기업,635 명  (2021년 기준),2007년 1월 2일 (업력 15년) ,www.champstudy.com,서울 서초구
130,131,(주)오픈소스컨설팅,"중소기업, 주식회사, 병역특례 인증업체",66 명  (2022년 기준),2012년 3월 13일 (업력 10년) ,www.osci.kr,서울 강남구
131,132,(주)올림커뮤니케이션즈,"중소기업, 연구소",17 명  (2019년 기준),2009년 7월 15일 (업력 13년) ,www.olym.co.kr,충북 청주시
132,133,(주)동아엘텍,"코스닥, 외부감사법인, 주식회사, 수출입..",131 명  (2022년 기준),1999년 4월 14일 (업력 23년) ,www.dongaeltek.co.kr,경기 안양시
133,134,유빈스(주),"대기업, 주식회사",553 명  (2021년 기준),2005년 9월 20일 (업력 17년) ,www.ubins.co.kr,경기 군포시
134,135,(주)에이스프로젝트,"중소기업, 스타트업",56 명  (2019년 기준),2011년 4월 12일 (업력 11년) ,www.aceproject.co.kr,서울 중구
135,136,(주)에이오팜,"중소기업, 주식회사",0,2021년 3월 15일 (업력 1년) ,www.aiofarm.co.kr,경기 성남시
136,137,(주)퍼시스,"코스피, 중견기업, 1000대기업, 외부감사..",219 명  (2022년 기준),1983년 3월 11일 (업력 39년) ,www.fursys.com,서울 송파구
137,138,(주)벨아이앤에스,중소기업,0,2008년 5월 14일 (업력 14년) ,www.bellins.net,서울 서대문구
138,139,(주)리파인,"코스닥, 중소기업, 주식회사",215 명  (2022년 기준),2002년 7월 10일 (업력 20년) ,www.refine.co.kr,서울 강남구
139,140,(주)와치텍,"중소기업, 수출입 기업",110 명  (2021년 기준),1999년 1월 13일 (업력 23년) ,www.watchtek.co.kr,서울 영등포구
